day_disabled,day_label,date,reason_string
True,"17, Thursday, October 2024. Unavailable ",2024-10-17,Unavailable
True,"18, Friday, October 2024. Unavailable ",2024-10-18,Unavailable
True,"19, Saturday, October 2024. Unavailable ",2024-10-19,Unavailable
True,"20, Sunday, October 2024. Unavailable ",2024-10-20,Unavailable
True,"21, Monday, October 2024. Unavailable ",2024-10-21,Unavailable
True,"22, Tuesday, October 2024. Unavailable ",2024-10-22,Unavailable
True,"23, Wednesday, October 2024. Unavailable ",2024-10-23,Unavailable
True,"24, Thursday, October 2024. Unavailable ",2024-10-24,Unavailable
True,"25, Friday, October 2024. Unavailable ",2024-10-25,Unavailable
True,"26, Saturday, October 2024. Unavailable ",2024-10-26,Unavailable
True,"27, Sunday, October 2024. Unavailable ",2024-10-27,Unavailable
True,"28, Monday, October 2024. Unavailable ",2024-10-28,Unavailable
True,"29, Tuesday, October 2024. Unavailable ",2024-10-29,Unavailable
True,"30, Wednesday, October 2024. Unavailable ",2024-10-30,Unavailable
True,"31, Thursday, October 2024. Unavailable ",2024-10-31,Unavailable
True,"1, Friday, November 2024. Unavailable ",2024-11-01,Unavailable
True,"2, Saturday, November 2024. Unavailable ",2024-11-02,Unavailable
True,"3, Sunday, November 2024. Unavailable ",2024-11-03,Unavailable
False,"4, Monday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-04,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"5, Tuesday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-05,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"6, Wednesday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-06,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"7, Thursday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-07,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"8, Friday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-08,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"9, Saturday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-09,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"10, Sunday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-10,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"11, Monday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-11,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"12, Tuesday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-12,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"13, Wednesday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-13,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"14, Thursday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-14,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"15, Friday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-15,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"16, Saturday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-16,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"17, Sunday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-17,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"18, Monday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-18,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"19, Tuesday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-19,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"20, Wednesday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-20,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"21, Thursday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-21,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"22, Friday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-22,Available. There is a 1 night minimum stay requirement. Select as check-in date.
False,"23, Saturday, November 2024. Available. There is a 1 night minimum stay requirement. Select as check-in date. ",2024-11-23,Available. There is a 1 night minimum stay requirement. Select as check-in date.
